"WEEK";"DAY";"CUSTOMER_ID";"ARTICLE_ID";"PURCHASE_AMOUNTS";"WORKER_ID";"TRANSACTION_TYPE"
0;1;"c_04d02b6c-a694-49ea-9a52-7fac5daa1d93";"6";"1";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_e79a2cac-272f-415c-8ea1-6f01121d07ef";"6";"1";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_f407f51b-2c26-425c-998d-399702beb3ea";"6";"2";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_201c4c00-5161-40db-8edf-4a9e2e0036fe";"6";"1";"w_b913d35d-8664-4bae-93dc-06c43d5fa769";"customer_sale"
0;1;"c_fb6b4db2-9cb9-493b-8133-61e6e5a1eab0";"6";"1";"w_b5099cd3-98cc-46a9-a8c7-dd34a860b96d";"customer_sale"
0;1;"c_fb6b4db2-9cb9-493b-8133-61e6e5a1eab0";"7";"1";"w_b5099cd3-98cc-46a9-a8c7-dd34a860b96d";"customer_sale"
0;1;"c_8cdbfdf4-8f5a-4440-acda-870a6c1b0a31";"6";"2";"w_68ce2422-e2df-42d2-b501-0225ab49eb78";"customer_sale"
0;1;"c_dd910c9c-40eb-45da-a9c3-c52641444bf1";"6";"2";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_ca28f545-3015-4ec9-b2c8-65ee105cdcc4";"6";"1";"w_b913d35d-8664-4bae-93dc-06c43d5fa769";"customer_sale"
0;1;"c_0f331e3d-0b33-4847-bfb1-2fb278ccf012";"6";"2";"w_b5099cd3-98cc-46a9-a8c7-dd34a860b96d";"customer_sale"
0;1;"c_0a6694e5-1eb7-4288-b3c6-2ffb731aeeb3";"6";"2";"w_68ce2422-e2df-42d2-b501-0225ab49eb78";"customer_sale"
0;1;"c_b10511fd-07b5-4c18-907b-691a65a6042e";"6";"1";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_3c7190d4-0694-4787-a188-30d836a7d7ca";"6";"2";"w_b913d35d-8664-4bae-93dc-06c43d5fa769";"customer_sale"
0;1;"c_433df3e4-d626-4190-b4c5-2f6b0631d376";"6";"1";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_433df3e4-d626-4190-b4c5-2f6b0631d376";"7";"1";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_ce273db3-f1d4-4b66-ab17-d0e5daf377a5";"6";"3";"w_b913d35d-8664-4bae-93dc-06c43d5fa769";"customer_sale"
0;1;"c_451bd488-2b56-43e6-b9d8-322fc8e907ed";"6";"1";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_4d4ef34f-8aab-4135-9e25-1389e6e4eff6";"6";"1";"w_b913d35d-8664-4bae-93dc-06c43d5fa769";"customer_sale"
0;1;"c_99cd4a06-207f-4384-a6be-c55ebb7bb805";"6";"2";"w_b5099cd3-98cc-46a9-a8c7-dd34a860b96d";"customer_sale"
0;1;"c_9de6a7e4-bb0c-4a50-afba-83e89eb77cfe";"6";"1";"w_68ce2422-e2df-42d2-b501-0225ab49eb78";"customer_sale"
0;1;"c_f60bf072-d435-44a8-808d-cff1885a7f9d";"6";"1";"w_d0b28fe5-7717-4c51-b6fd-e1754988ea35";"customer_sale"
0;1;"c_2b4fd2ba-3a93-43c0-9a4b-0d1bd685ca73";"6";"1";"w_b839a647-25eb-4e3e-9f6d-e92d5b5d09df";"customer_sale"
0;1;"c_820890a0-fd2e-4d17-bf57-66b833c01973";"6";"1";"w_b53b94da-ca86-4991-a04d-91118e3dde0a";"customer_sale"
0;1;"c_94ec9e83-36b8-4c2f-823a-a03b765f0f2f";"6";"2";"w_cbcc4e50-b51f-40a7-8c01-7fa55eb7ae77";"customer_sale"
0;1;"c_98a87084-4dd0-4003-9d8b-228bcf421993";"6";"1";"w_b913d35d-8664-4bae-93dc-06c43d5fa769";"customer_sale"
0;1;"c_e573915c-48fc-40ed-8ce9-621b23d52fae";"6";"1";"w_b5099cd3-98cc-46a9-a8c7-dd34a860b96d";"customer_sale"
0;1;"c_b6e314a8-c687-4491-83d6-81af5a0de0e2";"6";"1";"w_68ce2422-e2df-42d2-b501-0225ab49eb78";"customer_sale"
0;1;"c_b7e570e8-a437-48dc-af9c-6a0d984bc71e";"6";"2";"w_d0b28fe5-7717-4c51-b6fd-e1754988ea35";"customer_sale"
0;1;"c_a12dcb5e-fc55-4e16-92d7-0447750d4504";"6";"2";"w_b839a647-25eb-4e3e-9f6d-e92d5b5d09df";"customer_sale"
0;1;"c_a611de32-332e-4187-be13-7f51bb2811a9";"6";"1";"w_b53b94da-ca86-4991-a04d-91118e3dde0a";"customer_sale"
